異動,藥品代號,藥品英文名稱,藥品中文名稱,成分,劑量,規格,單複方,支付價,有效起日,有效迄日,藥商,廠商,製造廠名稱,劑型,藥品分類,分類分組名稱,ATC代碼,給付規定章節,2023年數量,2023年數量(含包裹),2024年數量,2024年數量(含包裹),2025年數量,2025年數量(含包裹),2026年(1-6月)數量,2026年(1-6月)數量(含包裹),藥品代碼超連結,給付規定章節連結
,A000389100,Luxson Tablets 40mg,消氣爽錠40毫克,Dimethicone,40mg,,單方,0.2,840301,9991231,強生化學製藥廠股份有限公司,強生,強生化學製藥廠股份有限公司,錠劑,一般學名藥,"Dimethicone,一般錠劑膠囊劑,40mg",A03AX13,,366998.6,1634538.3,347283.2,1441747,281895.4,1327271.9,143853.5,598061.8,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000389,
,A000415100,"Gasmin Tablets ""F.Y.""","""福元"" 瓦斯敏錠",Dimethicone,40mg,,單方,0.3,840301,9991231,福元化學製藥股份有限公司,福元,福元化學製藥股份有限公司,錠劑,一般學名藥,"Dimethicone,一般錠劑膠囊劑,40mg",A03AX13,,21445039.1,27637111.6,32439466.3,38468945.3,32617000.1,38938349,12211166.2,14823424.9,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000415,
,A000419212,"Dexasonlin Injection ""Sinton""",得舒喘力注射液,Dexamethasone,2mg/ml,2ml,單方,0,990601,9991231,新東化學製藥股份有限公司,新東,新東化學製藥股份有限公司,注射劑,一般學名藥,"Dexamethasone,注射劑,4mg",H02AB02,,0,1.5,0,0,0,2,0,0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000419,
,A000419229,"Dexasonlin Injection ""Sinton""",得舒喘力注射液,Dexamethasone,2mg/ml,10ml,單方,0,990601,9991231,新東化學製藥股份有限公司,新東,新東化學製藥股份有限公司,注射劑,一般學名藥,"Dexamethasone,注射劑,20mg",H02AB02,,0,6,0,7,0,10,0,7,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000419,
,A000428100,Secopon S.C. Tablets,斯可伴糖衣錠,Butylscopolamine,10mg,,單方,0,1040601,9991231,信隆藥品工業股份有限公司,信隆,信隆藥品工業股份有限公司,糖衣錠,一般學名藥,"Butylscopolamine,一般錠劑膠囊劑,10mg",A03BB01,7.1.,0,132,0,333,0,735,0,378,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000428,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=7.1._20240801.pdf
,A000429100,Winon Tablets,偉濃錠,Nalidixic Acid,500mg,,單方,2.22,1080401,9991231,豐田藥品股份有限公司,豐田,應元化學製藥股份有限公司,錠劑,一般學名藥,"Nalidixic Acid,一般錠劑膠囊劑,500mg",J01MB02,"10.1.,10.8.2.",106,658,120,354,103,309,0,0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000429,"https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=10.1._20250101.pdf,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=10.8.2._20191201_000.pdf"
,A000480209,Adrenalin Injection,安得理那寧注射液,Epinephrine,1mg/ml,1ml,單方,0,1000201,9991231,中國化學製藥股份有限公司新豐工廠,中化,中國化學製藥股份有限公司新豐工廠,注射劑,一般學名藥,"Epinephrine,注射劑,1mg",C01CA24,,0,1,0,9,1,5,0,0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000480,
,A000506100,Popon Capsules,保命膠囊,Calcium Phosphate Dibasic 50mg+Niacinamide 50mg+Thiamine Mononitrate 10mg+Vitamin A (Palmitate) 2500IU+Vitamin B2 5mg+Vitamin B6 5mg,,,複方,0,950203,9991231,台灣?野義製藥股份有限公司,鹽野義,臺灣鹽野義製藥股份有限公司六堵工廠,膠囊劑,一般學名藥,,A11AA02,,0,9,0,39,0,18,0,1,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000506,
,A000518100,"Oxyeteracycline Hcl Capsules ""Tah-An""",〝大安〞鹽酸羥四環素膠囊,Oxytetracycline,250mg,,單方,0,1091101,9991231,大安化學製藥股份有限公司,大安,臺灣派頓化學製藥股份有限公司,膠囊劑,一般學名藥,"Oxytetracycline,一般錠劑膠囊劑,250mg",J01AA06,10.1.,0,6273,0,4831,0,922,0,104,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000518,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=10.1._20250101.pdf
,A000519100,"Tetracycline Capsules ""Lin Chemical""",四環素膠囊,Tetracycline,250mg,,單方,0,1020501,9991231,大安化學製藥股份有限公司,大安,臺灣派頓化學製藥股份有限公司,膠囊劑,一般學名藥,"Tetracycline,一般錠劑膠囊劑,250mg",J01AA07,10.1.,0,54,0,9,0,76,0,0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000519,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=10.1._20250101.pdf
